//This tiny file clears out the pieces of a surface in the Surface Test option in the Developer's panel. All the numbers that have an asterisk near them. Basically, eye or mouth frames that aren't part of a surface as defined in surfaces.txt. It just makes it easier for you to find a defined surface in Surface Test. You can also use it to assign surfaces nicknames in the surface test!


//You don't need to touch this part.
charset,UTF-8
version,1
option,DisableNoDefineSurfaces


//I talk about this a little more on the site itself, but I'll go over it here too. Here's an example of surfacetable.txt set up with unique groups.

//group,G
//{
//scope,0

//0,Default
//1,IdleLeft
//2,IdleRight
//3,Phonecheck
//5,Left
//6,Right
//7,Forward
//8,Wave
//9,Crossed
//10,Null
//30,Armhold
//31,FaceForward
//}

//First, we define a group. Then we give that group a name, in this case, G. You generally have VERY little space to read with the Surface Test, so you'll want these group names to be pretty short. But you can adjust and change it as you try this out.

//Once we defined the group, we open up some brackets to put in our values. That first line defines whether the group applies to the main character of the ghost or the sidekick. It's not a super meaningful distinction, in my experience, but there's no harm in including it. 0 means the surfaces are associated with the main character, and 1 is associated with the side character, as usual.

//After that, we have the surface number, and a nickname. In this case, Surface0, and I gave it the nickname "default". So when you load up Surface Test, you'll see that 0 will have (G/Default) next to it. After that, all you have to do is add all the surface numbers you have defined, then give them whatever name will be most useful to you. Boom!

//You can define multiple groups with different names if that helps you keep things straight. You can have a group for Main poses, a group for Special poses, a group for Lying Down poses... how you use this to keep your files organized is up to you. You will see as you begin giving surfaces nicknames and reloading and checking the Surface Test whether or not your names are too short or too long or not descriptive enough or what have you. You'll just have to figure out your own schema.

//You can also use this to disable surfaces you don't want to appear in the surfacetable.txt list. Now, disabling a group of surfaces is pretty simple. You don't have to add a disabled group if you don't need one. But if you do, here's how.

//group,__disabled
//{
//9999,__parts
//}

//In this case, we made a group called __disabled. Any surfaces you don't want to appear in Surface Test, you can put into the __disabled group. I don't think nicknames are really necessary for them, I just called this one __parts for no reason, but it probably doesn't hurt.

//Once you've set up this file, you're all set! You should see the changes in the surface test immediately once you reload your shell.

group,D
{
scope,1

20,SunSide
21,SunFront
22,MoonSide
23,MoonFront
24,HeartSide
25,HeartFront
26,HouseSide
27,HouseFront
28,MapSide
29,MapFront
30,MimosaSide
31,MimosaFront
32,LintSide
33,LintFront
34,ToddhSide
35,ToddhFront
36,FancySide
37,FancyFront
38,NipSide
39,NipFront
40,CandySide
41,CandyFront
42,FireSide
43,FireFront
44,SnowSide
45,SnowFront
46,DishSide
47,DishFront
48,CatSide
49,CatFront
50,FlowerSide
51,FlowerFront
52,BirdSide
53,BirdFront
54,BirthdaySide
55,BirthdayFront
100,ClockFront
101,SheepFront
102,FrogFront
103,HorseFront
104,NeedleFront
105,ChickenFront
106,ShineFront
107,MalFront
108,ClockSide
109,SheepSide
110,FrogSide
111,HorseSide
112,NeedleSide
113,ChickenSide
114,ShineSide
115,MalSide
153,EmptyFront
}

group,E
{
scope,1
56,NodSide
57,NodFront
58,ShakeHead
152,Lookside
154,Mubirth
161,noMu
}

group,G
{
scope,1
59,FlowerPink
60,FlowerYellow
61,FlowerBlue
62,FlowerOrange
63,FlowerRed
64,PurplePlush
65,GreenPlush
66,OrangePlush
67,Maracas1
68,Maracas2
69,Maracas3
74,Train
}

group,SN
{
scope,1
73,IceBlue
72,IceChoco
71,IceVanilla
70,IceRed
}	

group,Mb
{
scope,1
75,MFlowerYellow
76,MFlowerRed
77,MFlowerBlue
78,MFlowerPink
79,MFlowerPurple
80,BookPink
81,BookOrange
82,BookGreen
83,BookBlue
84,BookRed
85,Plush1
86,Plush2
87,Plush3
88,Plush4
89,Plush5
90,Thinking2
91,Hug
93,Pop1
94,Pop2
95,Pop3
96,Pop4
97,Pop5
98,Side
99,Shrug
}

group,Mb+
{
scope,1
92,Hug-
155,RedBlack
156,Mimbirth
157,Fall0
158,Fall1
159,Fall2
160,FallEnd
}

group,SR
{
scope,1
116,Nomim
117,Start
118,oneS
119,twoS
120,threeS
121,fourS
122,fiveS
123,winS
124,oneG
125,twoG
126,threeG
127,winG
128,oneCH
129,twoCH
130,threeCH
131,fourCH
132,winCH
133,fireone
134,firetwo
135,firethree
136,firefour
137,firefive
138,firewin
139,updownone
140,updowntwo
141,updownthree
142,updownfour
143,updownwinCH
144,updownS
145,hatoffone
146,hatofftwo
147,hatoffthree
148,hatofffour
149,hatofffive
150,hatoffwinS
151,hatoffwinG
}

group,MW
{
scope,1
162,Watch
163,HeartWatch
164,StarWatch
165,UhWatch
166,OhWatch
167,___Watch
168,hahaWatch
169,oooWatch
170,AhWatch
171,DWatch
172,wWatch
173,SingWatch
}
